title,video_category,tags,views,likes,dislikes
Making Sandals with Zip-Ties and a Laser,Science/Tech,"laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",162006,7229,97
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",1194113,28200,1111
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",396661,21839,127
78557 and Proth Primes - Numberphile,Science/Tech,"numberphile|""prime numbers""|""proth prime""",181539,7193,74
The Making of Hela's Headdress from Thor: Ragnarok,Science/Tech,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",336398,4447,179
Apple iPhone X - One Week Later,Science/Tech,"iPhone X|""Apple iPhone X""|""iPhone X One Week Later""|""iPhone X Accessories""|""iPhone X Real Review""|""iPhone X Overview""|""iPhone X Space Gray""|""iPhone X Cases""|""FCPX""|""Apple""|""iPhone X vs iPhone 8""|""Best iPhone 2018""|""iPhone X vs Galaxy Note 8""|""dbrand""|""Google Pixel XL 2 vs iPhone X""|""Animoji""|""Portrait Mode""",9747,447,14
dapulse is now monday.com. And there's a good reason why.,Science/Tech,"dapulse|""monday.com""|""monday""|""project management""",6247,22,0
"What's new, Atlas?",Science/Tech,"Robotics|""Humanoid Robots""|""Legged Locomotion""|""Dynamic robots""|""Boston Dynamics""",6451949,150015,2976
What Is The Most Dangerous Drug In The World? ft. In A Nutshell (Kurzgesagt),Science/Tech,"Most dangerous drug|""Most lethal drug""|""Is alcohol dangeorus""|""science of drugs""|""war on drugs""|""your brain on drugs""|""your brain on heroin""|""is heroin the most dangerous drug""|""fentanyl""|""opioid crisis""|""is alcohol bad for you""|""alcohol poisoning""|""harm reduction""|""drug related crime""|""what drugs are legal""|""how to assess risk""|""why are drugs addictive""|""what are drugs""|""ld50""|""prescription drugs""|""lil peep""|""drug overdose""",803168,35094,489
Top 5 OnePlus 5T Features!,Science/Tech,"OnePlus 5T|""OnePlus 5T preview""|""OnePlus 5T review""|""OnePlus 5T features""|""OnePlus""|""5T""|""OnePlus 6""|""MKBHD""|""OnePlus 5T vs""|""camera""|""OnePlus camera""|""OnePlus 5T camera""",1666003,61821,1055
Google Pixel Buds review,Science/Tech,"pixel buds|""google pixel buds""|""google pixel buds review""|""wireless earbuds""|""review""|""google assistant""|""airpods""|""translate""|""translation""|""the verge""|""verge""|""sean o'kane""|""google""",291603,6006,353
Is the Surface Book 2 a MacBook Pro Killer?,Science/Tech,"surface book|""surface book 2""|""microsoft surface book 2""|""microsoft surface book""|""surface""|""microsoft surface""|""macbook""|""macbook pro""|""surface book 2 review""|""new surface book""|""new surface""|""microsoft""|""windows 10""|""apple""|""laptop""|""tablet""|""review""|""windows""|""tech""|""austin evans""",372468,13355,803
