title,video_category,tags,views,likes,dislikes
OUR SECRET FAN FICTIONS?! - Truth Bombs #2!,Gaming,"dan and phil|""dan and phil games""|""danisnotonfire""|""amazingphil""|""phil lester""|""dan howell""|""gaming channel""|""games""|""truth bombs""|""truth""|""bombs""|""board game""|""board""|""game""|""pj""|""kickthepj""|""sophie""|""our secret fan fictions""|""tiny""|""macro""|""uncle""|""dan""|""internet support group""|""secret""|""fan""|""fiction""|""wattpad""|""funny""|""best""|""2017""|""table""|""top""|""tabletop""|""card""|""party""|""christmas""|""gift""|""family""|""banter""|""roasting""|""youtuber""|""play""|""booster""|""pack""|""expansion""|""big""|""potato""|""shop""|""awkward""|""moments""|""forever""",645343,80351,257
In the Valley of Gods Announcement Trailer,Gaming,"campo santo|""firewatch""|""video games""|""egypt""|""videogames""|""gaming""|""adventure game""",305040,6849,1745
"Pokémon GO - More Pokémon, More Adventure. Now with Dynamic Weather Gameplay!",Gaming,"Pokémon|""Pokémon GO""|""Niantic""|""Niantic Labs""|""Pikachu""|""The Pokémon Company""|""The Pokémon Company International""",1690498,15272,1486
Youtube Rewind 2017 - BEHIND THE SCENES,Gaming,"youtube|""you tube""|""youtube rewind""|""you tube rewind""|""rewind 2017""|""behind the scenes""|""BTW""|""rewind BTS""|""japan""|""muselk vlog""|""mrmuselk vlog""|""muselk overwatch""|""muselk tf2""|""youtube rewind 2017""|""rewind 2016""",512792,18962,652
"The Game Awards - Full Show with Death Stranding, Zelda and More",Gaming,"the game awards|""game awards 2017""|""videogame awards""|""video game awards""|""geoff keighley""|""game awards live""|""livestream""|""playstation""|""xbox""|""nintendo""|""best games of 2017""|""best videogames 2017""|""gameplay""|""trailers""|""world premiere""|""gaming awards""|""TGA""|""announcement""",1415921,27781,1622
The Legend of Zelda: Breath of the Wild - Expansion Pass: DLC Pack 2 The Champions’ Ballad Trailer,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""nintendo switch""|""pro controller""|""joy con""|""awards""|""award show""|""video game awards""|""tga""|""the game awards""|""video game industry""|""game of the year""|""Best Game Direction""|""Best Art Direction""|""The Game Awards 2017""|""breath of the wild""|""the legend of zelda""|""dlc""|""dlc 2""|""the champions ballad""|""motorcycle""|""lozbotw""|""expansion pass""|""revali""|""mipha""|""urbosa""|""daruk""|""shrine""|""equips""|""kass""|""champions' ballad""|""ancient""",1747013,48804,910
PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer,Gaming,"PUBG|""Battle Royale""",493135,6326,275
In the Valley of Gods Announcement Trailer,Gaming,"campo santo|""firewatch""|""video games""|""egypt""|""videogames""|""gaming""|""adventure game""",325849,7220,2009
OUR SECRET FAN FICTIONS?! - Truth Bombs #2!,Gaming,"dan and phil|""dan and phil games""|""danisnotonfire""|""amazingphil""|""phil lester""|""dan howell""|""gaming channel""|""games""|""truth bombs""|""truth""|""bombs""|""board game""|""board""|""game""|""pj""|""kickthepj""|""sophie""|""our secret fan fictions""|""tiny""|""macro""|""uncle""|""dan""|""internet support group""|""secret""|""fan""|""fiction""|""wattpad""|""funny""|""best""|""2017""|""table""|""top""|""tabletop""|""card""|""party""|""christmas""|""gift""|""family""|""banter""|""roasting""|""youtuber""|""play""|""booster""|""pack""|""expansion""|""big""|""potato""|""shop""|""awkward""|""moments""|""forever""",675485,82988,264
"Pokémon GO - More Pokémon, More Adventure. Now with Dynamic Weather Gameplay!",Gaming,"Pokémon|""Pokémon GO""|""Niantic""|""Niantic Labs""|""Pikachu""|""The Pokémon Company""|""The Pokémon Company International""",1976593,16459,1646
Youtube Rewind 2017 - BEHIND THE SCENES,Gaming,"youtube|""you tube""|""youtube rewind""|""you tube rewind""|""rewind 2017""|""behind the scenes""|""BTW""|""rewind BTS""|""japan""|""muselk vlog""|""mrmuselk vlog""|""muselk overwatch""|""muselk tf2""|""youtube rewind 2017""|""rewind 2016""",529512,19425,681
"The Game Awards - Full Show with Death Stranding, Zelda and More",Gaming,"the game awards|""game awards 2017""|""videogame awards""|""video game awards""|""geoff keighley""|""game awards live""|""livestream""|""playstation""|""xbox""|""nintendo""|""best games of 2017""|""best videogames 2017""|""gameplay""|""trailers""|""world premiere""|""gaming awards""|""TGA""|""announcement""",1428301,27892,1632
The Legend of Zelda: Breath of the Wild - Expansion Pass: DLC Pack 2 The Champions’ Ballad Trailer,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""nintendo switch""|""pro controller""|""joy con""|""awards""|""award show""|""video game awards""|""tga""|""the game awards""|""video game industry""|""game of the year""|""Best Game Direction""|""Best Art Direction""|""The Game Awards 2017""|""breath of the wild""|""the legend of zelda""|""dlc""|""dlc 2""|""the champions ballad""|""motorcycle""|""lozbotw""|""expansion pass""|""revali""|""mipha""|""urbosa""|""daruk""|""shrine""|""equips""|""kass""|""champions' ballad""|""ancient""",1798350,49255,954
PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer,Gaming,"PUBG|""Battle Royale""",515429,6469,283
In the Valley of Gods Announcement Trailer,Gaming,"campo santo|""firewatch""|""video games""|""egypt""|""videogames""|""gaming""|""adventure game""",338319,7470,2076
OUR SECRET FAN FICTIONS?! - Truth Bombs #2!,Gaming,"dan and phil|""dan and phil games""|""danisnotonfire""|""amazingphil""|""phil lester""|""dan howell""|""gaming channel""|""games""|""truth bombs""|""truth""|""bombs""|""board game""|""board""|""game""|""pj""|""kickthepj""|""sophie""|""our secret fan fictions""|""tiny""|""macro""|""uncle""|""dan""|""internet support group""|""secret""|""fan""|""fiction""|""wattpad""|""funny""|""best""|""2017""|""table""|""top""|""tabletop""|""card""|""party""|""christmas""|""gift""|""family""|""banter""|""roasting""|""youtuber""|""play""|""booster""|""pack""|""expansion""|""big""|""potato""|""shop""|""awkward""|""moments""|""forever""",695925,84581,268
"Pokémon GO - More Pokémon, More Adventure. Now with Dynamic Weather Gameplay!",Gaming,"Pokémon|""Pokémon GO""|""Niantic""|""Niantic Labs""|""Pikachu""|""The Pokémon Company""|""The Pokémon Company International""",2252213,17238,1786
Youtube Rewind 2017 - BEHIND THE SCENES,Gaming,"youtube|""you tube""|""youtube rewind""|""you tube rewind""|""rewind 2017""|""behind the scenes""|""BTW""|""rewind BTS""|""japan""|""muselk vlog""|""mrmuselk vlog""|""muselk overwatch""|""muselk tf2""|""youtube rewind 2017""|""rewind 2016""",537422,19637,696
"The Game Awards - Full Show with Death Stranding, Zelda and More",Gaming,"the game awards|""game awards 2017""|""videogame awards""|""video game awards""|""geoff keighley""|""game awards live""|""livestream""|""playstation""|""xbox""|""nintendo""|""best games of 2017""|""best videogames 2017""|""gameplay""|""trailers""|""world premiere""|""gaming awards""|""TGA""|""announcement""",1435412,27961,1643
The Legend of Zelda: Breath of the Wild - Expansion Pass: DLC Pack 2 The Champions’ Ballad Trailer,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""nintendo switch""|""pro controller""|""joy con""|""awards""|""award show""|""video game awards""|""tga""|""the game awards""|""video game industry""|""game of the year""|""Best Game Direction""|""Best Art Direction""|""The Game Awards 2017""|""breath of the wild""|""the legend of zelda""|""dlc""|""dlc 2""|""the champions ballad""|""motorcycle""|""lozbotw""|""expansion pass""|""revali""|""mipha""|""urbosa""|""daruk""|""shrine""|""equips""|""kass""|""champions' ballad""|""ancient""",1833398,49538,986
In the Valley of Gods Announcement Trailer,Gaming,"campo santo|""firewatch""|""video games""|""egypt""|""videogames""|""gaming""|""adventure game""",344277,7633,2095
PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer,Gaming,"PUBG|""Battle Royale""",529028,6533,287
OUR SECRET FAN FICTIONS?! - Truth Bombs #2!,Gaming,"dan and phil|""dan and phil games""|""danisnotonfire""|""amazingphil""|""phil lester""|""dan howell""|""gaming channel""|""games""|""truth bombs""|""truth""|""bombs""|""board game""|""board""|""game""|""pj""|""kickthepj""|""sophie""|""our secret fan fictions""|""tiny""|""macro""|""uncle""|""dan""|""internet support group""|""secret""|""fan""|""fiction""|""wattpad""|""funny""|""best""|""2017""|""table""|""top""|""tabletop""|""card""|""party""|""christmas""|""gift""|""family""|""banter""|""roasting""|""youtuber""|""play""|""booster""|""pack""|""expansion""|""big""|""potato""|""shop""|""awkward""|""moments""|""forever""",713394,85861,271
