title,video_category,tags,views,likes,dislikes
A VERY #EXTRA EBAY SHOPPING HAUL!,Howto/Style,"ebay|""haul""|""cheap""|""challenge""|""extra""|""amber scholl""|""online""|""shopping""|""try on""|""2017""|""CLOTHES""|""shoes""",515525,24115,1249
EXTREME GOLDEN TAN TRANSFORMATION,Howto/Style,"Extreme Tan|""Tanning""|""Tanning Bed""|""How to get best Tan""|""Black to White""|""White To Tan""|""How to apply fake tan""|""Tanning Routine""|""Best fake tan""|""How to tan faster in the sun""|""How to make tan last""|""tanned skin""|""tan makeup""",366892,9052,2993
ICE PRIMER? DOES IT WORK?!,Howto/Style,"ice primer|""beauty hack""|""weird beauty hack""|""ice under foundation""|""pore minimizer""",118316,3823,294
How To Dry a Shirt in 30 Seconds,Howto/Style,"how to dry a shirt in 30 seconds|""how to dry a shirt""|""life hack""|""how to quickly dry clothing""|""how to dry a shirt fast""|""quickly dry clothes""|""quickly dry clothing""|""dry a shirt fast""|""howtobasic""",2244971,101831,12677
Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon Appétit,Howto/Style,"cave|""cheese""|""goat""|""rind""|""sheep's milk""|""crown finish caves""|""brooklyn""|""crown heights""|""aging cheese""|""affinage""|""artisanal food""|""benton brown""|""how to age cheese""|""cheese aging""|""cheese caves""|""how cheese is made""|""how to make cheese""|""how cheese is aged""|""cheese recipe""|""cheese making""|""best cheese""|""cheeses""|""how cheese aging works""|""cheese is aged""|""i got a guy""|""food""|""bon appetit""|""bon appétit""",99019,2404,40
Surprise After Surprise | October Vlog,Howto/Style,"jenn im|""jenn im vlog""|""imjennim""|""october vlog""|""monthly vlog""|""ben jolliffe""|""birthday vlog""|""surprise vlog""|""los angeles""",269509,10801,158
SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY,Howto/Style,11/8/17,232083,14766,408
Everything I Wore This Week! Outfit Diary 1,Howto/Style,"Dina|""Tokio""|""Dinatokio""|""Torkia""|""Hijab""|""Hijabi""|""Fashion""|""outfit diary""|""diary""|""outfits i wore this week""|""lookbook""|""modest""|""dressing""|""muslim""|""islam""|""cute""|""outfits""|""fashion""|""fashionista""|""blogging""|""blogger""|""instagram""|""logan paul""|""zoella""|""jake paul""|""2017""|""creative""|""looks""|""ideas""|""winter""|""autumn""|""spring""|""summer""|""fashion week""|""buzzfeed""|""buzzfeed boldly""|""what to wear""|""outfits of the week""|""outfit""|""outfit of the day""|""how to style""|""ootd""|""clothing""|""vlog""|""haul""|""outfit ideas""|""how to""|""makeup""|""style""|""fall looks""|""how to wear""|""ootw""",77302,3756,123
Pumpkin Pie - You Suck at Cooking (episode 68),Howto/Style,"Forest|""Cooking""|""recipe""|""chef""|""how to""|""cooking tutorial""|""you suck at cooking""|""ysac""|""pumpkin""|""pumpkin pie""|""thanksgiving""|""comedy""|""funny""|""pie""|""spices""",387902,24442,414
How I Trained My Cats,Howto/Style,"how|""trained""|""cat""|""cats""|""train""|""how to""|""how i trained my cats""|""cook""|""Jun""|""Rachel""|""Japanese""|""food""|""training""|""paw""|""trick""|""cooking""|""ジュン""|""キッチン""|""料理""|""ねこ""|""ぬこ""|""お手""|""日本""|""英語""|""Juns kitchen""|""Jun's kitchen""|""yt:cc=on""",1961066,142740,773
