title,video_category,tags,views,likes,dislikes
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",3318492,16937,1067
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",3393569,17209,1082
I just bought the most ridiculous car,Automotive/Vehicle,"electric car|""electric vehicle""|""comuta car""|""citicar""|""tesla""|""lithium batteries""|""compact car""|""small car""|""weird car""|""fun cars""",357052,18377,468
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",3460380,17465,1099
I just bought the most ridiculous car,Automotive/Vehicle,"electric car|""electric vehicle""|""comuta car""|""citicar""|""tesla""|""lithium batteries""|""compact car""|""small car""|""weird car""|""fun cars""",513277,21468,715
Dominoes Pizza Delivery on Bike,Automotive/Vehicle,"2017|""Cars""|""NSFW – Language""|""viralhog""|""Australia""|""bike""|""bicycle""|""bikes""|""dominos""|""pizza""|""delivery""",4524,44,7
"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Automotive/Vehicle,"spyker c8|""spyker""|""spyker c8 spyder""|""c8 spyder""|""spyker c12""|""spyker car""|""spyker sports car""|""weird car""|""exotic car""|""doug demuro""|""demuro""",705169,21050,532
I just bought the most ridiculous car,Automotive/Vehicle,"electric car|""electric vehicle""|""comuta car""|""citicar""|""tesla""|""lithium batteries""|""compact car""|""small car""|""weird car""|""fun cars""",587887,22766,784
"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Automotive/Vehicle,"spyker c8|""spyker""|""spyker c8 spyder""|""c8 spyder""|""spyker c12""|""spyker car""|""spyker sports car""|""weird car""|""exotic car""|""doug demuro""|""demuro""",1149806,26710,838
I just bought the most ridiculous car,Automotive/Vehicle,"electric car|""electric vehicle""|""comuta car""|""citicar""|""tesla""|""lithium batteries""|""compact car""|""small car""|""weird car""|""fun cars""",609732,23333,795
